City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,grand falls-windsor,48.9332,-55.6649,10.84,51,35,4.07,CA,1682620270
125,medvezh'yegorsk,62.9167,34.4667,6.78,76,96,4.28,RU,1682620271
126,warmbad,-28.45,18.7333,19.66,30,1,3.65,NA,1682620271
127,qingquan,30.4511,115.2559,17.12,84,100,1.87,CN,1682620272
128,manicore,-5.8092,-61.3003,29.97,74,20,2.06,BR,1682620272
129,san andres,12.5847,-81.7006,31.01,58,20,3.6,CO,1682620272
130,natal,-5.795,-35.2094,31.36,66,20,5.14,BR,1682620083
131,mila,36.4503,6.2644,24.44,55,28,1.97,DZ,1682620273
132,hamilton,39.1834,-84.5333,20.69,43,0,4.12,US,1682620196
133,mayya,61.7333,130.2811,-4.38,100,100,1.48,RU,1682620274
134,lebanon,36.2081,-86.2911,17.12,92,75,3.6,US,1682620046
135,carutapera,-1.195,-46.02,27.19,87,97,2.36,BR,1682620084
136,mili,6.0815,171.735,27.96,80,73,6.94,MH,1682620274
137,vilhena,-12.7406,-60.1458,31.12,48,40,1.54,BR,1682620275
138,fougamou,-1.2154,10.5838,24.07,92,100,0.97,GA,1682620275
139,punta arenas,-53.15,-70.9167,8.06,57,40,15.43,CL,1682620275
140,imperatriz,-5.5264,-47.4917,33.03,62,40,1.03,BR,1682620275
141,nar'yan-mar,67.6713,53.087,-7.61,93,100,4.18,RU,1682620276
142,desamparados,9.9473,-84.5063,34.51,54,87,6.21,CR,1682620276
143,faridpur,23.6,89.8333,29.08,49,5,2.78,BD,1682620276
144,turpan,42.9333,89.1667,20.71,16,10,4.52,CN,1682620277
145,nueva helvecia,-34.3,-57.2333,25.89,46,15,5.1,UY,1682620277
146,thompson,55.7435,-97.8558,4.09,48,0,4.63,CA,1682620277
147,norfolk county,42.1668,-71.2495,14.94,71,83,1.79,US,1682620196
148,tazacorte,28.629,-17.9293,22.86,72,20,2.57,ES,1682620278
149,niafunke,15.9322,-3.9906,33.2,7,0,3.99,ML,1682620278
150,sinabang,2.4803,96.3801,26.5,83,100,1.03,ID,1682620278
151,changde,29.0464,111.6783,17.26,89,100,2.05,CN,1682620279
